rowid	search_description	search_task	spectrum_filename	id
79	MSV000080254 CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	9e32611a5efe4132ad62458cb7548a51	MSV000080254/ccms_peak/RAW/3B10-1.mzML	0
80	MSV000080254 CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	9e32611a5efe4132ad62458cb7548a51	MSV000080254/ccms_peak/RAW/3B10-2.mzML	1
81	MSV000080254 CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	9e32611a5efe4132ad62458cb7548a51	MSV000080254/ccms_peak/RAW/3B11-1.mzML	2
82	MSV000080254 CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	9e32611a5efe4132ad62458cb7548a51	MSV000080254/ccms_peak/RAW/3B11-2.mzML	3
83	MSV000080254 CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	9e32611a5efe4132ad62458cb7548a51	MSV000080254/ccms_peak/RAW/3B1-1.mzML	4
84	MSV000080254 CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	9e32611a5efe4132ad62458cb7548a51	MSV000080254/ccms_peak/RAW/3B12-1.mzML	5
85	MSV000080254 CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	9e32611a5efe4132ad62458cb7548a51	MSV000080254/ccms_peak/RAW/3B12-2.mzML	6
86	MSV000080254 CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	9e32611a5efe4132ad62458cb7548a51	MSV000080254/ccms_peak/RAW/3B1-2.mzML	7
87	MSV000080254 CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	9e32611a5efe4132ad62458cb7548a51	MSV000080254/ccms_peak/RAW/3B13-1.mzML	8
88	MSV000080254 CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	9e32611a5efe4132ad62458cb7548a51	MSV000080254/ccms_peak/RAW/3B13-2.mzML	9
89	MSV000080254 CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	9e32611a5efe4132ad62458cb7548a51	MSV000080254/ccms_peak/RAW/3B14-1.mzML	10
90	MSV000080254 CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	9e32611a5efe4132ad62458cb7548a51	MSV000080254/ccms_peak/RAW/3B14-2.mzML	11
